"id","user_id","origin_id","destination_id","start_time","end_time","origin_lat","origin_lon","destination_lat","destination_lon","trip_distance","duration_without_stops","duration_with_stops","waypoints","num_intermediate_stops","min_intermediate_stop_duration","max_intermediate_stop_duration","avg_intermediate_stop_duration"
"5376356615840","39","1639570","1639562","2016-11-03 13:00:50","2016-11-03 15:27:35","42.226120504405266","-72.02171698245394","42.95950506149778","-71.43136963398939","99.44760420918","6655.0","15685.0","via:42.1402332622349,-72.0239481311161|via:42.1402332622349,-72.0239481311161|via:42.958240026893726,-71.43588859930539","3","350.0","1800.0","1316.6666666666667"
"5388184388555","39","1641135","1641602","2016-11-03 20:43:45","2016-11-03 20:47:15","42.22660411463258","-72.03111034390244","42.226015552510894","-72.02267655550683","0.57862097025","210.0","210.0","","0","0","0","0"
"5376799307917","40","1639628","1639639","2016-11-03 12:34:55","2016-11-03 13:49:25","42.33982259834508","-71.01975941625611","42.0774036","-71.8596086","61.9298000336","4260.0","4470.0","via:42.24487704650466,-71.59180756201391|via:42.24487704650466,-71.59180756201391","2","210.0","210.0","210.0"
"5431264174350","40","1647179","1648655","2016-11-03 17:14:50","2016-11-04 10:30:30","42.33929547619346","-71.02074687204104","42.0774036","-71.8596086","86.78418433665","6880.0","62140.0","","0","0","0","0"
"5626153983460","41","1677220","1677225","2016-11-07 11:42:26","2016-11-07 11:58:56","42.33218390344399","-71.07325085777501","42.308495383216865","-71.11530164787091","3.63908004761","990.0","990.0","","0","0","0","0"
"5637420493907","41","1678398","1679404","2016-11-07 14:39:51","2016-11-07 15:30:21","42.46742936590232","-71.11083370037443","42.32067627069996","-71.09898316542782","17.3449001312","3030.0","3030.0","","0","0","0","0"
"5441123190781","48","1648943","1649881","2016-11-04 13:38:20","2016-11-04 14:43:30","40.782770200308164","-73.85283987858992","40.699789907244565","-73.91209424478868","10.96387016773","2270.0","3910.0","via:40.7807811260284,-73.83907985339289","1","1640.0","1640.0","1640.0"
"6326202754247","49","1778505","1778516","2016-11-20 13:20:04","2016-11-20 14:28:39","42.10190189966997","-72.62110874999722","41.292236546150335","-72.90301659346551","63.4177017212","4115.0","4115.0","","0","0","0","0"
"6326469533706","49","1778546","1778550","2016-11-22 13:58:09","2016-11-22 15:50:34","41.653435662969535","-72.63088839406356","42.43160835944241","-73.31606300426581","97.2662963867","6745.0","6745.0","","0","0","0","0"
"6327739481232","49","1778552","1778901","2016-11-22 19:35:44","2016-11-22 22:55:59","41.287206263962204","-72.9000909825808","41.29220428109683","-72.90334225764664","119.26492786415","7455.0","12015.0","via:41.285750150640894,-72.83243793635634|via:41.547757701411896,-72.09372440048662","2","1815.0","2745.0","2280.0"
"6333240500001","49","1779498","1779501","2016-11-23 01:30:14","2016-11-23 01:55:19","41.94301704636888","-72.65888259113048","42.100569588056274","-72.62099792162817","15.6712999344","1505.0","1505.0","","0","0","0","0"
"6295752249703","38","1774222","1774228","2016-11-18 15:16:24","2016-11-18 18:41:43","42.49710983333333","-73.6703615278","42.397066810185876","-72.62319995342791","89.60975763201","5579.0","12319.0","","0","0","0","0"
"6105408691462","37","1746938","1747459","2016-11-14 16:46:46","2016-11-14 17:08:41","41.6737607","-72.8529666","41.529266237233976","-72.80706898401573","17.32970047","1315.0","1315.0","","0","0","0","0"
"6300781408717","37","1774928","1774939","2016-11-21 16:46:44","2016-11-21 16:52:40","42.4947430432417","-71.11868481682816","42.49777730350713","-71.14105596583256","2.07422995567","356.0","356.0","","0","0","0","0"
"6363264132738","37","1783712","1783713","2016-11-23 14:53:40","2016-11-23 15:09:45","41.6737607","-72.8529666","41.61093056883696","-72.71141401086958","14.4540996552","965.0","965.0","","0","0","0","0"
"6581757980260","37","1813985","1814170","2016-11-28 13:08:05","2016-11-28 13:24:55","41.69884861403276","-72.86855275416829","41.67787110150602","-72.94581703509326","6.24589014053","1010.0","1010.0","","0","0","0","0"
"6664823829452","37","1825257","1825721","2016-11-30 14:48:25","2016-11-30 14:53:50","41.65684156144148","-72.90445111290367","41.64281253493136","-72.88937503057224","2.43630003929","325.0","325.0","","0","0","0","0"
"6699333632218","46","1825771","1834647","2016-11-30 18:22:11","2016-12-01 04:57:11","42.39699811036316","-72.62182800169126","41.121486249648065","-78.73533454732753","501.4862041472","29400.0","38100.0","via:42.110099960080944,-72.61008803540108|via:42.110099960080944,-72.61008803540108|via:41.547900965367525,-73.72242228787923|via:41.503499504636046,-74.22157947130125|via:41.503499504636046,-74.22157947130125|via:41.503499504636046,-74.22157947130125|via:41.35878716227099,-75.22003326544557","7","530.0","3935.0","2667.8571428571427"
"6441095769646","46","1793606","1795570","2016-11-25 05:23:47","2016-11-25 12:39:47","42.34396572986843","-71.03643053541944","40.35539176811493","-74.4564039682055","316.37619781489997","17440.0","26160.0","via:41.55774415087762,-71.66961883706253|via:41.147361802628936,-73.25666815570261","2","375.0","8345.0","4360.0"
"6343295103675","46","1780724","1781099","2016-11-23 04:50:06","2016-11-23 07:17:06","41.64178502427663","-72.66453374683789","42.425047387226606","-71.00484398945754","123.6431026459","7065.0","8820.0","via:42.3118810350605,-71.36367248559225","1","1755.0","1755.0","1755.0"
"6712396704243","49","1831847","1832138","2016-12-01 17:28:24","2016-12-01 18:51:54","41.295252980049185","-72.90236445782806","42.18652066528094","-72.57702918053067","72.7005996704","5010.0","5010.0","","0","0","0","0"
"6716603619106","49","1832438","1832695","2016-12-01 20:55:54","2016-12-01 21:05:44","42.11835111890729","-72.577339456001","42.138920747513815","-72.5822790090339","2.59745001793","590.0","590.0","","0","0","0","0"
